Language,North Mansi,Middle Lozva Mansi,Lower Lozva Mansi,Pelymka Mansi,Konda Mansi,Tavda Mansi,Vakh Khanty,Verkhne-Kalymsk Khanty,Vasjugan Khanty,Vartovskoje Khanty,Likrisovskoje Khanty,Malyj Jugan Khanty,Tremjugan Khanty,Jugan Khanty,Upper Demjanka Khanty,Konda Khanty,Nizjam Khanty,Sherkaly Khanty,Kazym Khanty,Synja Khanty,Obdorsk Khanty
North Mansi,0,0.92,0.89,0.88,0.87,0.82,0.52,0.54,0.52,0.56,0.61,0.60,0.56,0.58,0.57,0.55,0.56,0.58,0.54,0.56,0.56
Middle Lozva Mansi,0,0,0.98,0.96,0.96,0.90,0.56,0.58,0.55,0.63,0.64,0.61,0.56,0.58,0.58,0.57,0.55,0.57,0.53,0.56,0.58
Lower Lozva Mansi,0,0,0,0.97,0.97,0.91,0.52,0.52,0.52,0.56,0.58,0.55,0.54,0.55,0.56,0.55,0.53,0.54,0.51,0.53,0.57
Pelymka Mansi,0,0,0,0,0.97,0.91,0.54,0.55,0.54,0.59,0.61,0.59,0.55,0.57,0.56,0.55,0.53,0.55,0.52,0.55,0.57
Konda Mansi,0,0,0,0,0,0.92,0.55,0.57,0.56,0.61,0.63,0.60,0.56,0.57,0.57,0.57,0.55,0.57,0.53,0.57,0.57
Tavda Mansi,0,0,0,0,0,0,0.53,0.56,0.53,0.62,0.63,0.60,0.54,0.57,0.56,0.56,0.53,0.54,0.51,0.55,0.57
Vakh Khanty,0,0,0,0,0,0,0,0.97,0.95,0.96,0.95,0.91,0.87,0.88,0.85,0.85,0.78,0.79,0.77,0.77,0.76
Verkhne-Kalymsk Khanty,0,0,0,0,0,0,0,0,0.98,0.98,0.97,0.91,0.90,0.90,0.86,0.87,0.80,0.80,0.79,0.79,0.78
Vasjugan Khanty,0,0,0,0,0,0,0,0,0,0.96,0.95,0.90,0.88,0.88,0.84,0.85,0.78,0.81,0.78,0.80,0.75
Vartovskoje Khanty,0,0,0,0,0,0,0,0,0,0,0.98,0.94,0.90,0.92,0.84,0.86,0.77,0.74,0.76,0.75,0.73
Likrisovskoje Khanty,0,0,0,0,0,0,0,0,0,0,0,0.98,0.95,0.97,0.89,0.90,0.83,0.82,0.83,0.80,0.80
Malyj Jugan Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.95,0.87,0.88,0.82,0.83,0.81,0.79,0.78
Tremjugan Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0.91,0.90,0.82,0.83,0.82,0.83,0.81
Jugan Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.90,0.83,0.84,0.82,0.84,0.81
Upper Demjanka Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.88,0.88,0.86,0.87,0.84
Konda Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.89,0.87,0.88,0.85
Nizjam Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.96,0.91,0.89
Sherkaly Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.91,0.86
Kazym Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.90
Synja Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94
Obdorsk Khanty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0